t,phy,det,v,stat
-0.007715,-9.418364031453456e-07,8.032697089479245e-05,,
-0.00771,-1.4363189180016694e-06,-4.393808776661306e-06,,
-0.007705,2.196851357502519e-06,-1.4435853350741576e-06,,
-0.0077,8.082796413999356e-06,-7.690846562424916e-05,,
-0.0076950000000000005,8.171526799377267e-06,3.739731807292543e-06,,
-0.007690000000000001,4.741288461700162e-05,1.3770178407142335e-06,,
-0.007685000000000001,1.0764859070109856e-05,7.228623093461101e-05,,
-0.00768,1.413620327998358e-06,-2.955587123066317e-06,,
-0.007675,-1.3762323645661578e-06,-1.1648400232361344e-06,,
-0.00767,-1.1543013171004604e-07,-6.681730832722079e-05,,
-0.007665,3.463117051123733e-07,2.0721532317861157e-06,,
-0.00766,-2.098081465799936e-06,8.319389550056539e-07,,
-0.007655,-4.243659287534393e-06,6.082244036682254e-05,,
-0.0076500000000000005,-8.02420697978579e-07,-1.1206461774963385e-06,,
-0.007645000000000001,1.1315920180575818e-05,-4.0382184924027043e-07,,
-0.00764,9.985532337328975e-05,-5.457935760764697e-05,,
-0.007635,1.3623193889903578e-07,1.3119359954232966e-07,,
-0.00763,4.220040481106445e-06,-9.48441448416083e-08,,
-0.007625,1.270449327124118e-06,4.83197498685175e-05,,
-0.00762,-4.8374622603083104e-08,8.683255094715355e-07,,
-0.007615,1.545315307677826e-06,6.413236886194852e-07,,
-0.0076100000000000004,2.4051807906114416e-06,-4.222923025192955e-05,,
-0.007605000000000001,-7.763937042651945e-07,-1.8530815594385748e-06,,
-0.007600000000000001,-6.298328792990438e-06,-1.2155567375365892e-06,,
-0.007595,-7.8072843916715e-06,3.6449502699338946e-05,,
-0.00759,8.30695818390679e-06,2.8017674568465024e-06,,
-0.007585,-1.9531687209249185e-05,1.8005913270723546e-06,,
-0.00758,-3.155877727256319e-06,-3.108203629222656e-05,,
-0.007575,4.903617585764436e-07,-3.6967880517025146e-06,,
-0.00757,-7.013507956755716e-07,-2.3827521824783244e-06,,
-0.0075650000000000005,-1.3266823902564911e-06,2.6192691542965263e-05,,
-0.007560000000000001,1.2636081307207582e-06,4.524219804778572e-06,,
-0.007555,4.5039252926535935e-06,2.951599432833058e-06,,
-0.00755,3.4398910406540073e-06,-2.181678901723265e-05,,
-0.007545,-4.082709538178463e-06,-5.273594567620253e-06,,
-0.00754,-1.7726589425820028e-05,-3.4997245040684086e-06,,
-0.007535,2.0451441251302828e-05,1.7964237547341355e-05,,
-0.00753,-2.743679767900587e-06,5.937558243496872e-06,,
-0.0075250000000000004,-7.315233832754919e-07,4.022435075251813e-06,,
-0.007520000000000001,6.314600815736477e-07,-1.462446540971048e-05,,
-0.007515000000000001,-1.3141140646531018e-06,-6.511456403545782e-06,,
-0.00751,-3.5068205559650523e-06,-4.517360966948338e-06,,
-0.007505,-1.9266684775896527e-06,1.1770952979679652e-05,,
-0.0075,3.3546921036419363e-06,6.992880553657718e-06,,
-0.007495,7.505298051642984e-06,4.984027014749633e-06,,
-0.00749,4.516905368360274e-06,-9.365245155147575e-06,,
-0.007485,-8.426502655300144e-05,-7.3812158650110385e-06,,
-0.0074800000000000005,5.4206751199843655e-06,-5.423410243953035e-06,,
-0.007475000000000001,-5.9406395438871725e-08,7.360414957205586e-06,,
-0.00747,1.0692121049653212e-06,7.677215317113495e-06,,
-0.007465,2.860158917668819e-06,5.837498425977888e-06,,
-0.00746,1.2602709565217712e-06,-5.703961720266103e-06,,
-0.007455,-2.9835630804529437e-06,-7.88261698623654e-06,,
-0.00745,-5.26652081747577e-06,-6.2288775977395425e-06,,
-0.007445,-1.9699289244844006e-06,4.340168394140762e-06,,
-0.00744,6.081374738908422e-06,7.999823545255863e-06,,
-0.007435000000000001,2.1269072860183638e-05,6.600345146182412e-06,,
-0.007430000000000001,-1.501004311034995e-06,-3.2119979354398046e-06,,
